country,new_cases,tests_done,population,testing_rate,positivity_rate,Week,deaths,weekly_cfr,population_ce,testing_rate_ce,tests_done_ce,new_cases_ce,deaths_ce,positivity_rate_ce
Belgium,6012,213854,11455519,1866.8207,2.8112637589999996,37,20,0.00332667997338656,-0.2538486167204342,0.7811129241631857,0.4058921343305773,0.17787250101628424,-0.24672666420029227,-0.14400326639390834
Belgium,9947,251200,11455519,2192.8295,3.959792994,38,25,0.002513320599175631,-0.2538486167204342,1.040064654961447,0.5633662370658097,0.5374522872431231,-0.23991830324640687,0.05644883944370017
Belgium,11192,256545,11455519,2239.488233,4.36258746,39,30,0.0026804860614724805,-0.2538486167204342,1.0771261074964829,0.5859041013382837,0.6512202246897342,-0.23310994229252147,0.12674831155895291
Belgium,18368,257535,11455519,2248.1303550000002,7.132234454,40,81,0.004409843205574913,-0.2538486167204342,1.0839906229625371,0.5900785607638683,1.306962167755502,-0.16366466056289028,0.6101331096604152
Belgium,35399,306971,11455519,2679.677804,11.53170821,41,127,0.0035876719681346932,-0.2538486167204342,1.4267726547362942,0.798531667999421,2.8632527241034795,-0.10102773978714452,1.3779705769996708
Bulgaria,555,13175,7000039,188.21323710000001,4.212523719,24,12,0.021621621621621623,-0.44932595695104893,-0.5522201265054884,-0.44029609098950284,-0.3207874464906687,-0.25762004172650893,0.10055777850445952
Bulgaria,606,13137,7000039,187.67038300000002,4.612925325,25,27,0.04455445544554455,-0.44932595695104893,-0.55265132041426,-0.44045632276543434,-0.3161270731494822,-0.2371949588648527,0.17043962622552375
Bulgaria,753,16357,7000039,233.6701267,4.603533655,26,17,0.02257636122177955,-0.44932595695104893,-0.5161133090250232,-0.42687878806807855,-0.30269423234253295,-0.2508116807726235,0.1688005037970625
Bulgaria,1052,20082,7000039,286.8841159,5.23852206,27,25,0.02376425855513308,-0.44932595695104893,-0.47384495735470017,-0.41117185740110646,-0.2753716513814593,-0.23991830324640687,0.27962464225681555
Bulgaria,1498,22483,7000039,321.1839248,6.6628119020000005,28,21,0.014018691588785047,-0.44932595695104893,-0.4466003097233951,-0.40104773913764336,-0.2346162296134364,-0.2453649920095152,0.5282050783934844
Bulgaria,1463,28230,7000039,403.28346739999995,5.182430039,29,37,0.025290498974709502,-0.44932595695104893,-0.3813879024079619,-0.376814791340841,-0.2378145250436624,-0.2235782369570819,0.2698349360939268
Bulgaria,1674,32426,7000039,463.22599060000005,5.162523901,30,39,0.023297491039426525,-0.44932595695104893,-0.33377501548265504,-0.3591218299774544,-0.2185333725928713,-0.22085489257552773,0.2663607299878942
Bulgaria,1524,35208,7000039,502.96862630000004,4.328561691,31,47,0.03083989501312336,-0.44932595695104893,-0.3022070814238205,-0.3473911773289936,-0.23224035300812565,-0.20996151504931107,0.12080981487907164
Bulgaria,1507,32536,7000039,464.79741039999993,4.631792476,32,60,0.039814200398142006,-0.44932595695104893,-0.33252682255957866,-0.35865800115238944,-0.23379381078852113,-0.192259776569209,0.1737324985650826
Bulgaria,990,29994,7000039,428.483327,3.300660132,33,50,0.050505050505050504,-0.44932595695104893,-0.3613714265972071,-0.36937666363707217,-0.2810372032864311,-0.20587649847697984,-0.058589216348296926
Bulgaria,894,34968,7000039,499.540074,2.556623198,34,50,0.05592841163310962,-0.44932595695104893,-0.3049304114450266,-0.34840316749277167,-0.2898096707521939,-0.20587649847697984,-0.1884455279651777
Bulgaria,937,34715,7000039,495.9258084,2.6991214169999997,35,60,0.064034151547492,-0.44932595695104893,-0.30780125521576107,-0.34946997379042105,-0.28588033636648763,-0.192259776569209,-0.163575400844157
Bulgaria,790,36540,7000039,521.9970916999999,2.162014231,36,60,0.0759493670886076,-0.44932595695104893,-0.2870925996988953,-0.34177463192002533,-0.29931317717343686,-0.192259776569209,-0.25731638993984335
Bulgaria,937,23980,7000039,342.56952,3.907422852,37,52,0.05549626467449306,-0.44932595695104893,-0.42961353853442413,-0.39473545049107767,-0.28588033636648763,-0.20315315409542567,0.04730871054927582
Bulgaria,928,28047,7000039,400.6691963,3.308731772,38,38,0.040948275862068964,-0.44932595695104893,-0.38346444152629505,-0.37758643384072177,-0.28670275519140287,-0.2222165647663048,-0.057180477949432366
Bulgaria,1178,23428,7000039,334.68384960000003,5.0281714189999995,39,34,0.028862478777589132,-0.44932595695104893,-0.43587719767057204,-0.3970630278677672,-0.2638577878326457,-0.22766325352941313,0.24291227336988783
Bulgaria,1521,26590,7000039,379.8550265,5.720195562000001,40,52,0.03418803418803419,-0.44932595695104893,-0.3999973243651599,-0.3837300574599911,-0.23251449261643073,-0.20315315409542567,0.3636908243440966
Bulgaria,2353,30015,7000039,428.78332539999997,7.839413627000001,41,46,0.019549511262218443,-0.44932595695104893,-0.3611331351617713,-0.3692881144977416,-0.15648644124648667,-0.21132318724008814,0.733556658763498
Croatia,0,4,4076246,0.098129504,0.0,5,0,0.0,-0.5776028831239618,-0.7016416534743476,-0.4958332678525068,-0.37150327402710975,-0.2739601080158339,-0.6346514130703844
Croatia,0,7,4076246,0.17172663300000002,0.0,6,0,0.0,-0.5776028831239618,-0.7015831946108557,-0.49582061797545957,-0.37150327402710975,-0.2739601080158339,-0.6346514130703844
